Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
576,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28.0,1996,20,10,951,10.6,0,1,1,0,0,0,3,2,0.1,0.1,1.2,1.3,12,34,40,0.09,0.12,576,fr FRA,DF,fr Ligue 1,28,1996,10.6,0,2,0,0.0,0.19,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,576,fr FRA,DF,fr Ligue 1,28,1996,10.6,384,483,79.5,6475,2447,1,1.2,1.1,-0.2,10,31,10,6,34,576,fr FRA,DF,fr Ligue 1,28,1996,10.6,483,400,80,10,0,0,28,70,0,0,0,0,384,3,6,576,fr FRA,DF,fr Ligue 1,28,1996,10.6,20,1.89,17,3,0,0,0,0,1,0.09,576,fr FRA,DF,fr Ligue 1,28,1996,10.6,27,21,15,9,3,31,51.6,15,16,5,11,11,38,46,0,576,fr FRA,DF,fr Ligue 1,28,1996,10.6,608,47,198,295,119,4,608,10,3,30.0,7,70.0,297,1329,583,12,9,1,11,6,345,40,707,fr FRA,DF,fr Ligue 1,28,1996,20,951,48,31.1,10.6,10,79,2,10,16,6,1.15,13,20,-7,-0.66,-0.41,13.8,18.0,-4.2,-0.40,576,fr FRA,DF,fr Ligue 1,28,1996,10.6,3,2,0,30,17,0,28,11,21,0,0,0,42,17,13,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Saúl Coco,gq EQG,DF,Torino,it Serie A,25.0,1999,32,32,2845,31.6,2,0,2,2,0,0,10,0,1.2,1.2,0.0,1.2,17,70,3,0.06,0.04,577,gq EQG,DF,it Serie A,25,1999,31.6,2,20,5,25.0,0.63,0.16,0.10,0.40,18.7,3,0,0,1.2,1.2,0.06,+0.8,+0.8,577,gq EQG,DF,it Serie A,25,1999,31.6,1350,1529,88.3,24764,7402,0,0.0,0.2,0.0,1,74,2,1,70,577,gq EQG,DF,it Serie A,25,1999,31.6,1529,1470,57,29,0,12,2,7,0,0,0,0,1350,2,12,577,gq EQG,DF,it Serie A,25,1999,31.6,16,0.51,12,0,0,3,1,0,1,0.03,577,gq EQG,DF,it Serie A,25,1999,31.6,46,26,31,14,1,30,63.3,11,49,31,18,38,84,157,4,577,gq EQG,DF,it Serie A,25,1999,31.6,1879,241,863,961,65,17,1879,9,7,77.8,2,22.2,1135,5790,3043,17,8,0,13,2,1227,3,708,gq EQG,DF,it Serie A,25,1999,32,2845,89,83.2,31.6,32,89,29,0,,3,1.19,34,36,-2,-0.06,+0.56,28.3,41.7,-13.5,-0.43,577,gq EQG,DF,it Serie A,25,1999,31.6,10,0,0,53,19,0,2,38,26,0,0,1,87,62,58,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35.0,1988,5,3,215,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,11,7,0.00,0.24,578,ie IRL,DF,eng Premier League,35,1988,2.4,0,1,1,100.0,0.42,0.42,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,578,ie IRL,DF,eng Premier League,35,1988,2.4,74,98,75.5,1299,642,0,0.0,0.0,0.0,0,8,2,0,11,578,ie IRL,DF,eng Premier League,35,1988,2.4,98,78,19,0,0,0,4,19,0,0,0,0,74,1,2,578,ie IRL,DF,eng Premier League,35,1988,2.4,2,0.84,1,0,1,0,0,0,1,0.42,578,ie IRL,DF,eng Premier League,35,1988,2.4,3,2,2,1,0,4,75.0,1,5,3,2,1,4,8,0,578,ie IRL,DF,eng Premier League,35,1988,2.4,121,12,42,54,26,3,121,5,4,80.0,1,20.0,54,310,177,1,2,0,1,1,68,7,710,ie IRL,DF,eng Premier League,35,1988,5,215,43,6.3,2.4,3,65,1,2,10,13,1.60,4,4,0,0.00,+0.06,3.6,4.6,-1.0,-0.42,578,ie IRL,DF,eng Premier League,35,1988,2.4,1,0,0,0,1,0,4,1,2,0,0,0,7,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23.0,2001,38,38,3420,38.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,32,127,18,0.13,0.11,579,ie IRL,DF,eng Premier League,23,2001,38.0,2,17,6,35.3,0.45,0.16,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,579,ie IRL,DF,eng Premier League,23,2001,38.0,1705,1985,85.9,32826,10799,3,1.8,1.6,+1.2,10,111,7,2,127,579,ie IRL,DF,eng Premier League,23,2001,38.0,1985,1897,83,69,3,6,8,11,0,0,0,0,1705,5,8,579,ie IRL,DF,eng Premier League,23,2001,38.0,30,0.79,22,2,1,3,2,0,8,0.21,579,ie IRL,DF,eng Premier League,23,2001,38.0,40,24,23,12,5,36,61.1,14,77,57,20,34,74,226,3,579,ie IRL,DF,eng Premier League,23,2001,38.0,2435,385,1275,1002,169,69,2435,12,6,50.0,5,41.7,1289,6994,4130,32,12,1,20,8,1490,18,711,ie IRL,DF,eng Premier League,23,2001,38,3420,90,100.0,38.0,38,90,38,0,,0,1.47,66,57,+9,+0.24,,59.0,55.4,+3.6,+0.09,579,ie IRL,DF,eng Premier League,23,2001,38.0,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,20.0,2004,24,15,1489,16.5,1,1,2,1,0,0,4,0,0.8,0.8,1.0,1.8,30,63,42,0.12,0.11,580,de GER,DF,de Bundesliga,20,2004,16.5,1,5,2,40.0,0.30,0.12,0.20,0.50,15.1,0,0,0,0.8,0.8,0.16,+0.2,+0.2,580,de GER,DF,de Bundesliga,20,2004,16.5,766,888,86.3,12523,3617,1,1.0,1.2,0.0,2,53,12,2,63,580,de GER,DF,de Bundesliga,20,2004,16.5,888,811,77,16,0,2,17,61,0,0,0,0,766,0,7,580,de GER,DF,de Bundesliga,20,2004,16.5,9,0.54,7,0,2,0,0,0,3,0.18,580,de GER,DF,de Bundesliga,20,2004,16.5,33,24,24,7,2,22,77.3,5,22,11,11,16,49,74,3,580,de GER,DF,de Bundesliga,20,2004,16.5,1107,85,411,541,159,19,1107,34,12,35.3,18,52.9,623,3297,1420,30,21,6,17,11,690,42,712,de GER,DF,de Bundesliga,20,2004,24,1489,62,48.7,16.5,15,84,11,9,26,7,1.96,36,18,+18,+1.09,+0.86,34.0,21.9,+12.1,+0.73,580,de GER,DF,de Bundesliga,20,2004,16.5,4,0,0,26,22,0,17,16,24,0,0,0,78,13,13,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,20.0,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.22,581,eng ENG,MF,eng Premier League,20,2004,2.0,0,1,0,0.0,0.50,0.00,0.00,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,581,eng ENG,MF,eng Premier League,20,2004,2.0,76,92,82.6,1127,121,0,0.3,0.4,-0.3,2,3,1,0,5,581,eng ENG,MF,eng Premier League,20,2004,2.0,92,88,4,1,0,0,0,2,0,0,0,0,76,0,2,581,eng ENG,MF,eng Premier League,20,2004,2.0,5,2.50,4,0,0,1,0,0,0,0.00,581,eng ENG,MF,eng Premier League,20,2004,2.0,12,9,6,6,0,6,83.3,1,2,1,1,2,14,3,0,581,eng ENG,MF,eng Premier League,20,2004,2.0,129,9,46,59,25,3,129,2,1,50.0,1,50.0,68,239,56,0,0,0,11,1,71,2,713,eng ENG,MF,eng Premier League,20,2004,6,179,30,5.2,2.0,0,,0,6,30,11,1.67,6,2,+4,+2.01,+2.40,5.2,3.1,+2.2,+1.08,581,eng ENG,MF,eng Premier League,20,2004,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22.0,2002,37,26,2233,24.8,6,2,8,5,1,1,5,1,5.9,5.1,2.9,8.0,27,48,116,0.28,0.35,582,it ITA,"FW,MF",it Serie A,22,2002,24.8,6,55,18,32.7,2.22,0.73,0.09,0.28,18.1,0,1,1,5.9,5.1,0.09,+0.1,-0.1,582,it ITA,"FW,MF",it Serie A,22,2002,24.8,343,508,67.5,5088,1106,2,2.9,0.9,-0.9,21,25,12,2,48,582,it ITA,"FW,MF",it Serie A,22,2002,24.8,508,472,35,0,3,6,10,3,0,0,0,0,343,1,16,582,it ITA,"FW,MF",it Serie A,22,2002,24.8,55,2.21,33,0,5,8,8,1,3,0.12,582,it ITA,"FW,MF",it Serie A,22,2002,24.8,31,14,7,16,8,21,33.3,14,33,2,31,2,33,16,1,582,it ITA,"FW,MF",it Serie A,22,2002,24.8,837,18,77,417,355,83,836,50,24,48.0,25,50.0,438,2185,856,27,28,10,88,52,547,116,715,it ITA,"FW,MF",it Serie A,22,2002,37,2233,60,65.3,24.8,26,72,7,11,33,0,0.76,27,36,-9,-0.36,+0.93,23.8,31.3,-7.5,-0.30,582,it ITA,"FW,MF",it Serie A,22,2002,24.8,5,1,1,46,41,6,10,2,14,0,0,0,73,53,121,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25.0,1999,24,17,1432,15.9,2,1,3,2,0,0,1,0,2.7,2.7,1.3,3.9,37,57,129,0.19,0.24,583,it ITA,"FW,MF",it Serie A,25,1999,15.9,2,35,12,34.3,2.20,0.75,0.06,0.17,18.5,2,0,0,2.7,2.7,0.07,-0.7,-0.7,583,it ITA,"FW,MF",it Serie A,25,1999,15.9,376,466,80.7,5907,1206,1,1.3,1.3,-0.3,17,19,15,1,57,583,it ITA,"FW,MF",it Serie A,25,1999,15.9,466,429,34,7,2,6,33,5,22,12,1,0,376,3,7,583,it ITA,"FW,MF",it Serie A,25,1999,15.9,43,2.70,34,4,0,4,1,0,5,0.31,583,it ITA,"FW,MF",it Serie A,25,1999,15.9,15,9,5,7,3,12,33.3,8,7,0,7,8,23,10,0,583,it ITA,"FW,MF",it Serie A,25,1999,15.9,609,9,62,251,299,49,609,27,12,44.4,13,48.1,395,2413,1094,37,35,13,26,22,449,129,716,it ITA,"FW,MF",it Serie A,25,1999,24,1432,60,41.9,15.9,17,74,2,7,25,2,1.44,25,20,+5,+0.31,-0.32,22.4,15.2,+7.2,+0.45,583,it ITA,"FW,MF",it Serie A,25,1999,15.9,1,0,0,21,24,1,33,8,9,0,0,0,46,10,15,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21.0,2003,35,35,3149,35.0,2,1,3,2,0,0,9,0,1.9,1.9,1.1,3.0,14,131,12,0.09,0.09,584,eng ENG,DF,eng Premier League,21,2003,35.0,2,17,4,23.5,0.49,0.11,0.12,0.50,9.5,0,0,0,1.9,1.9,0.11,+0.1,+0.1,584,eng ENG,DF,eng Premier League,21,2003,35.0,2338,2619,89.3,42476,14955,1,1.1,1.2,-0.1,14,148,7,3,131,584,eng ENG,DF,eng Premier League,21,2003,35.0,2619,2418,197,91,3,7,13,7,0,0,0,0,2338,4,21,584,eng ENG,DF,eng Premier League,21,2003,35.0,38,1.09,34,2,0,1,0,1,3,0.09,584,eng ENG,DF,eng Premier League,21,2003,35.0,47,34,25,19,3,27,66.7,9,37,25,12,33,80,118,4,584,eng ENG,DF,eng Premier League,21,2003,35.0,2904,383,1363,1417,140,36,2904,12,6,50.0,5,41.7,1621,7389,4028,14,12,1,14,8,2092,12,717,eng ENG,DF,eng Premier League,21,2003,35,3149,90,92.1,35.0,35,90,34,0,,2,1.77,56,41,+15,+0.43,-1.56,57.8,43.6,+14.2,+0.41,584,eng ENG,DF,eng Premier League,21,2003,35.0,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Florinel Coman,ro ROU,"FW,MF",Cagliari,it Serie A,26.0,1998,9,2,263,2.9,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,5,5,22,0.34,0.08,585,ro ROU,"FW,MF",it Serie A,26,1998,2.9,1,4,1,25.0,1.37,0.34,0.25,1.00,19.9,1,0,0,0.2,0.2,0.06,+0.8,+0.8,585,ro ROU,"FW,MF",it Serie A,26,1998,2.9,67,82,81.7,941,247,0,0.0,0.1,0.0,1,4,2,0,5,585,ro ROU,"FW,MF",it Serie A,26,1998,2.9,82,80,2,0,0,2,2,0,2,0,2,0,67,0,2,585,ro ROU,"FW,MF",it Serie A,26,1998,2.9,4,1.37,3,0,0,0,1,0,1,0.34,585,ro ROU,"FW,MF",it Serie A,26,1998,2.9,5,3,3,1,1,2,100.0,0,2,0,2,1,6,3,0,585,ro ROU,"FW,MF",it Serie A,26,1998,2.9,121,2,23,50,50,8,121,5,2,40.0,2,40.0,84,472,178,5,8,2,12,6,98,22,718,ro ROU,"FW,MF",it Serie A,26,1998,9,263,29,7.7,2.9,2,46,0,7,25,4,0.67,3,4,-1,-0.34,+0.09,1.8,2.9,-1.1,-0.36,585,ro ROU,"FW,MF",it Serie A,26,1998,2.9,2,0,0,8,9,0,2,1,3,0,0,0,12,4,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28.0,1996,28,14,1282,14.2,5,4,9,5,0,0,0,0,4.3,4.3,3.3,7.6,66,45,215,0.63,0.53,586,fr FRA,FW,de Bundesliga,28,1996,14.2,5,44,17,38.6,3.09,1.19,0.11,0.29,16.7,0,0,0,4.3,4.3,0.10,+0.7,+0.7,586,fr FRA,FW,de Bundesliga,28,1996,14.2,624,740,84.3,9720,1512,4,3.3,4.2,+0.7,32,26,28,5,45,586,fr FRA,FW,de Bundesliga,28,1996,14.2,740,718,20,0,0,2,45,9,0,0,0,0,624,2,13,586,fr FRA,FW,de Bundesliga,28,1996,14.2,81,5.68,60,0,14,5,2,0,11,0.77,586,fr FRA,FW,de Bundesliga,28,1996,14.2,17,12,6,6,5,12,66.7,4,12,0,12,8,25,15,0,586,fr FRA,FW,de Bundesliga,28,1996,14.2,934,13,84,323,537,85,934,74,39,52.7,31,41.9,606,3834,1867,66,33,28,28,18,733,215,719,fr FRA,FW,de Bundesliga,28,1996,28,1282,46,41.9,14.2,14,69,2,14,23,0,2.57,50,5,+45,+3.16,+2.05,33.9,8.7,+25.2,+1.77,586,fr FRA,FW,de Bundesliga,28,1996,14.2,0,0,0,9,12,8,45,8,12,0,0,0,59,11,16,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26.0,1998,25,21,1779,19.8,0,0,0,0,0,0,6,0,0.9,0.9,0.0,0.9,9,48,5,0.00,0.04,587,ch SUI,"DF,MF",es La Liga,26,1998,19.8,0,9,1,11.1,0.46,0.05,0.00,0.00,21.4,1,0,0,0.9,0.9,0.10,-0.9,-0.9,587,ch SUI,"DF,MF",es La Liga,26,1998,19.8,805,918,87.7,16323,5359,0,0.0,0.1,0.0,0,47,1,0,48,587,ch SUI,"DF,MF",es La Liga,26,1998,19.8,918,855,61,50,0,13,0,2,0,0,0,0,805,2,6,587,ch SUI,"DF,MF",es La Liga,26,1998,19.8,12,0.61,12,0,0,0,0,0,0,0.00,587,ch SUI,"DF,MF",es La Liga,26,1998,19.8,24,14,15,9,0,21,57.1,9,28,15,13,24,48,75,2,587,ch SUI,"DF,MF",es La Liga,26,1998,19.8,1114,132,613,474,32,7,1114,4,4,100.0,0,0.0,599,3025,1543,9,3,0,16,2,728,5,720,ch SUI,"DF,MF",es La Liga,26,1998,25,1779,71,52.0,19.8,21,82,13,4,13,7,0.48,13,53,-40,-2.02,-0.71,17.5,37.7,-20.2,-1.02,587,ch SUI,"DF,MF",es La Liga,26,1998,19.8,6,0,0,18,16,0,0,24,14,0,0,0,51,18,22,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,27.0,1996,35,30,2560,28.4,4,2,6,4,0,0,7,0,4.6,4.6,2.0,6.6,39,154,58,0.21,0.23,588,es ESP,MF,es La Liga,27,1996,28.4,4,39,8,20.5,1.37,0.28,0.10,0.50,13.1,0,0,0,4.6,4.6,0.12,-0.6,-0.6,588,es ESP,MF,es La Liga,27,1996,28.4,1163,1374,84.6,19630,6350,2,2.0,2.6,0.0,27,143,30,3,154,588,es ESP,MF,es La Liga,27,1996,28.4,1374,1340,26,22,7,10,14,2,0,0,0,0,1163,8,22,588,es ESP,MF,es La Liga,27,1996,28.4,78,2.74,69,2,1,2,0,4,11,0.39,588,es ESP,MF,es La Liga,27,1996,28.4,85,49,44,32,9,76,55.3,34,56,22,34,19,104,56,1,588,es ESP,MF,es La Liga,27,1996,28.4,1734,110,453,958,333,64,1734,34,18,52.9,14,41.2,903,4242,2451,39,30,6,35,44,1149,58,721,es ESP,MF,es La Liga,27,1996,35,2560,73,74.9,28.4,30,82,19,5,18,2,1.83,48,42,+6,+0.21,-1.25,46.0,34.9,+11.2,+0.39,588,es ESP,MF,es La Liga,27,1996,28.4,7,0,0,37,27,1,14,19,49,0,0,0,160,32,49,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19.0,2005,32,23,2110,23.4,1,0,1,1,0,0,5,0,0.5,0.5,0.6,1.1,14,75,12,0.04,0.05,589,it ITA,DF,it Serie A,19,2005,23.4,1,5,2,40.0,0.21,0.09,0.20,0.50,13.0,0,0,0,0.5,0.5,0.10,+0.5,+0.5,589,it ITA,DF,it Serie A,19,2005,23.4,1085,1266,85.7,22161,6285,0,0.6,0.2,-0.6,7,69,4,0,75,589,it ITA,DF,it Serie A,19,2005,23.4,1266,1221,42,25,0,3,3,17,0,0,0,0,1085,3,10,589,it ITA,DF,it Serie A,19,2005,23.4,20,0.82,17,0,0,1,0,2,1,0.04,589,it ITA,DF,it Serie A,19,2005,23.4,43,21,29,11,3,29,79.3,6,35,22,13,29,72,113,4,589,it ITA,DF,it Serie A,19,2005,23.4,1533,170,730,744,63,9,1533,2,0,0.0,2,100.0,892,3728,1815,14,11,1,15,4,982,12,723,it ITA,DF,it Serie A,19,2005,32,2110,66,61.7,23.4,23,85,17,9,18,4,1.79,32,25,+7,+0.30,-0.53,32.8,26.2,+6.6,+0.27,589,it ITA,DF,it Serie A,19,2005,23.4,5,0,0,24,12,0,3,29,21,0,0,0,86,63,43,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Francisco Conceição,pt POR,"FW,MF",Juventus,it Serie A,21.0,2002,26,12,1340,14.9,3,3,6,3,0,0,5,1,2.3,2.3,4.3,6.6,95,35,143,0.40,0.45,590,pt POR,"FW,MF",it Serie A,21,2002,14.9,3,40,13,32.5,2.69,0.87,0.08,0.23,18.1,1,0,0,2.3,2.3,0.06,+0.7,+0.7,590,pt POR,"FW,MF",it Serie A,21,2002,14.9,427,545,78.3,7032,1122,3,4.3,4.4,-1.3,28,16,20,10,35,590,pt POR,"FW,MF",it Serie A,21,2002,14.9,545,513,32,4,0,4,62,10,18,8,3,0,427,0,21,590,pt POR,"FW,MF",it Serie A,21,2002,14.9,64,4.30,45,4,10,4,1,0,9,0.60,590,pt POR,"FW,MF",it Serie A,21,2002,14.9,23,14,6,9,8,30,43.3,17,7,0,7,6,29,6,0,590,pt POR,"FW,MF",it Serie A,21,2002,14.9,739,11,87,244,425,92,739,79,35,44.3,37,46.8,548,4309,2292,95,32,59,35,22,581,143,724,pt POR,"FW,MF",it Serie A,21,2002,26,1340,52,39.2,14.9,12,84,4,14,24,2,1.81,28,16,+12,+0.81,+0.33,25.6,14.8,+10.8,+0.73,590,pt POR,"FW,MF",it Serie A,21,2002,14.9,5,1,1,24,36,4,62,6,14,1,0,0,55,2,9,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Diego Conde,es ESP,GK,Villarreal,es La Liga,25.0,1998,22,22,1962,21.8,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.05,0.01,591,es ESP,GK,es La Liga,25,1998,21.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,591,es ESP,GK,es La Liga,25,1998,21.8,519,640,81.1,12478,8097,1,0.2,0.0,+0.8,2,7,1,0,0,591,es ESP,GK,es La Liga,25,1998,21.8,640,500,139,32,0,0,0,0,0,0,0,0,519,1,0,591,es ESP,GK,es La Liga,25,1998,21.8,3,0.14,1,2,0,0,0,0,1,0.05,591,es ESP,GK,es La Liga,25,1998,21.8,2,2,2,0,0,4,50.0,2,0,0,0,1,3,9,2,591,es ESP,GK,es La Liga,25,1998,21.8,696,602,691,5,0,0,696,0,0,,0,,393,1972,1157,0,0,0,1,0,347,0,725,es ESP,GK,es La Liga,25,1998,22,1962,89,57.4,21.8,22,89,21,0,,11,1.77,41,33,+8,+0.37,-0.37,36.4,24.7,+11.7,+0.54,591,es ESP,GK,es La Liga,25,1998,21.8,2,0,0,0,1,0,0,1,2,0,0,0,30,1,0,100.0,28,es ESP,GK,es La Liga,25,1998,22,22,1962,21.8,33,1.51,94,62,68.1,11,6,5,2,9.1,4,3,0,1,28,es ESP,GK,es La Liga,25,1998,21.8,33,3,1,6,1,26.3,0.26,-5.7,-0.26,61,161,37.9,532,111,22.7,28.2,323,18,5.6,16,0.73,11.9
592,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26.0,1998,22,9,847,9.4,1,0,1,1,0,0,8,0,2.4,2.4,0.3,2.7,14,23,61,0.11,0.29,592,ar ARG,"FW,MF",es La Liga,26,1998,9.4,1,22,10,45.5,2.34,1.06,0.05,0.10,18.3,2,0,0,2.4,2.4,0.11,-1.4,-1.4,592,ar ARG,"FW,MF",es La Liga,26,1998,9.4,210,329,63.8,3305,1037,0,0.3,0.8,-0.3,7,14,11,8,23,592,ar ARG,"FW,MF",es La Liga,26,1998,9.4,329,310,16,0,2,0,31,12,3,0,3,0,210,3,13,592,ar ARG,"FW,MF",es La Liga,26,1998,9.4,14,1.48,13,0,0,1,0,0,0,0.00,592,ar ARG,"FW,MF",es La Liga,26,1998,9.4,15,12,6,7,2,27,33.3,18,14,2,12,6,21,10,0,592,ar ARG,"FW,MF",es La Liga,26,1998,9.4,457,10,66,197,196,34,457,13,6,46.2,7,53.8,249,1056,413,14,18,2,31,9,307,61,727,ar ARG,"FW,MF",es La Liga,26,1998,22,847,39,24.8,9.4,9,64,1,13,21,9,1.09,11,16,-5,-0.53,-0.36,10.3,11.9,-1.6,-0.17,592,ar ARG,"FW,MF",es La Liga,26,1998,9.4,8,0,0,28,11,5,31,6,12,0,0,0,45,23,20,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
